,Class,training,cidi_prob,cido_prob,codi_prob,codo_prob,wcd_prob,dfg_conf,dfg_prob,p1p1x,p2p2x,r3r3x,h_cgvc,ang_NHs,ang_CHs,dist_NH,dist_CH
18,cidi,1.0,0.999,0.0,0.0,0.0,0.001,di,1.0,0.93424373,0.993457357,0.988458376,0.980468643,-0.1375095290311874,-0.11423370683915014,-0.11313810832351714,-0.22193116852754743
19,cidi,1.0,1.0,0.0,0.0,0.0,0.0,di,1.0,0.987626106,0.988371313,0.989943343,0.952328396,-0.11607147326554075,-0.15945318939636657,-0.12742138757608468,-0.14749924899592595
20,cidi,1.0,0.991,0.002,0.002,0.0,0.005,di,0.972,0.8543136809999999,0.5767998910000001,0.931728264,0.976296806,-0.1828980322335798,0.032062941460522625,-0.08886994515608114,-0.2805282544740471
21,cidi,1.0,0.963,0.021,0.014,0.001,0.001,di,1.0,0.926996588,0.996204672,0.992871288,0.955634195,-0.020434298663581003,0.012840029014575375,-0.1978217504841341,0.005176255751677568
22,cidi,1.0,0.999,0.0,0.0,0.0,0.001,di,1.0,0.994799992,0.971414232,0.995827116,0.909262926,-0.07070046899692235,-0.17404607035160927,-0.09659728915116415,-0.24317370069226663
23,cidi,1.0,0.989,0.002,0.007,0.0,0.002,di,1.0,0.988016167,0.996954651,0.994584701,0.935399088,0.006154573179825553,-0.1641530240539426,-0.04837011487998125,-0.10919627845598016
24,cidi,1.0,1.0,0.0,0.0,0.0,0.0,di,1.0,0.971518816,0.992273871,0.999905112,0.993743075,-0.1529525433400431,-0.06520995668485294,-0.1530663197593248,-0.19408356959215947
25,cidi,1.0,0.984,0.001,0.01,0.0,0.005,di,0.998,0.938073336,0.998654471,0.98346289,0.963084887,-0.04983580447369139,-0.09859549096647575,-0.02758286561308725,-0.10865797440187568
26,cidi,1.0,0.985,0.001,0.011,0.0,0.003,di,1.0,0.992278571,0.9955606,0.994251169,0.91999109,0.04108915385239837,-0.12060828058915181,0.0032682228720506013,-0.13071489768141573
27,cidi,1.0,0.993,0.002,0.002,0.0,0.003,di,0.999,0.936072647,0.970936993,0.974656079,0.94471777,-0.06578967865623433,-0.08934077877234513,-0.11638809597312569,-0.21360534525928968
28,cidi,1.0,0.994,0.004,0.0,0.0,0.002,di,1.0,0.976092164,0.995487133,0.933851411,0.989506523,-0.1241875290386665,0.07684186840343864,-0.2041586740670556,-0.058451935899930925
29,cidi,1.0,0.999,0.001,0.0,0.0,0.0,di,1.0,0.985489179,0.992103451,0.988445016,0.991843066,-0.13835166727663406,-0.1058370257402939,-0.10554519340869127,-0.18012630495099252
30,cidi,1.0,0.979,0.017,0.002,0.0,0.002,di,0.998,0.909737748,0.8951468659999999,0.902329749,0.992285657,-0.16876627026481944,-0.0846047713290606,-0.1141584145235511,0.02250634157946359
31,cidi,1.0,0.986,0.004,0.002,0.001,0.007,di,0.999,0.906672337,0.997474779,0.975600561,0.983466125,-0.11202448219377659,0.09596737245071783,-0.22176992383698899,-0.13992875755097722
32,cidi,1.0,0.983,0.001,0.016,0.0,0.0,di,1.0,0.999597079,0.99732953,0.99712546,0.927024665,-0.09947195566314172,-0.17081425711726594,0.04517111740876062,-0.17290152781993978
33,cidi,1.0,0.991,0.0,0.007,0.0,0.002,di,0.998,0.8999997120000001,0.7470631440000001,0.885905394,0.930104637,0.011468873242048632,-0.07845900721479004,-0.024699344795355363,-0.1816797908144656
34,cidi,1.0,0.953,0.002,0.032,0.0,0.013,di,0.97,0.888308465,0.61592137,0.947953972,0.904451121,0.04064453359560523,-0.009474780326960336,0.026804841860861572,-0.26533459695612066
35,cidi,1.0,1.0,0.0,0.0,0.0,0.0,di,1.0,0.93243978,0.976934908,0.999666636,0.990822268,-0.14218538028806813,-0.12585659778839495,-0.10325882251022979,-0.11485760719217715
36,cidi,1.0,0.991,0.008,0.001,0.0,0.0,di,1.0,0.994294499,0.997393769,0.994753074,0.991526582,-0.13544058891613453,-0.11341251297944169,-0.10926807958084894,-0.0046572041271997445
37,cidi,1.0,0.994,0.003,0.0,0.0,0.003,di,1.0,0.996838905,0.988873661,0.997177099,0.96584032,-0.16250615520041742,-0.04503425899251062,-0.1433183714692342,-0.20628975000704639
38,cidi,1.0,1.0,0.0,0.0,0.0,0.0,di,1.0,0.97158701,0.986802304,0.99509759,0.909986333,-0.08055810807710764,-0.1594742480954673,-0.14909239513270164,-0.2205958114045021
39,cidi,1.0,0.994,0.006,0.0,0.0,0.0,di,1.0,0.936735266,0.988545767,0.984645558,0.986349038,-0.06783630537159548,-0.08231435864866367,-0.13865274498813634,-0.029224341218355626
40,cidi,1.0,0.999,0.0,0.001,0.0,0.0,di,1.0,0.992553859,0.998452664,0.996754724,0.989601664,-0.1104901575839167,-0.10679684148404354,-0.10540524128166935,-0.04546582010613626
41,cidi,1.0,0.865,0.004,0.122,0.005,0.004,di,0.998,0.992380001,0.993356355,0.97556307,0.919912523,0.07556239553201376,-0.1358989591192637,0.0974404037193958,-0.09809433662546943
42,cido,1.0,0.017,0.978,0.0,0.0,0.005,do,1.0,-0.91980725,-0.925431666,-0.920171711,0.987718848,-0.1612090236812161,-0.06563228618514876,-0.14867080193164872,0.016450476723472534
43,cido,1.0,0.007,0.992,0.0,0.0,0.001,do,0.998,-0.72988729,-0.7363378159999999,-0.659920183,0.990545304,-0.15902030895603625,-0.03676770037036893,-0.14735350133498853,0.052674261954212646
44,cido,1.0,0.004,0.996,0.0,0.0,0.0,do,1.0,-0.757761235,-0.712922945,-0.679693872,0.966202686,-0.09986071864206195,-0.14859765427416488,-0.16545414919880774,0.09507841551830903
45,cido,1.0,0.007,0.987,0.0,0.002,0.004,do,1.0,-0.667512268,-0.7889810140000001,-0.576595667,0.912209586,-0.03283943091684306,-0.09046527573696939,-0.151399225642401,0.08632068290140411
46,cido,1.0,0.002,0.998,0.0,0.0,0.0,do,1.0,-0.651131745,-0.768112349,-0.53756151,0.974787566,-0.048734923642895334,-0.07719095950946174,-0.1644668076847802,0.10361080859888154
47,cido,1.0,0.004,0.996,0.0,0.0,0.0,do,0.959,-0.562424158,-0.5218854620000001,-0.57942578,0.982976351,-0.08694645151607121,-0.08086009110619542,-0.19343245037294007,0.0971034949830672
48,cido,1.0,0.003,0.997,0.0,0.0,0.0,do,1.0,-0.694446637,-0.7605075240000001,-0.553604329,0.97069631,-0.05634807251900224,-0.18992504596261692,-0.15384757150452705,0.07972442251536077
49,cido,1.0,0.003,0.994,0.0,0.001,0.002,do,0.999,-0.7142925859999999,-0.787432197,-0.634441158,0.95172213,-0.036990536210285606,-0.09326469376605256,-0.13187164969002307,0.0638742873002028
50,cido,1.0,0.018,0.981,0.0,0.0,0.001,do,1.0,-0.787737963,-0.830511352,-0.681502522,0.969678629,-0.09124245025540932,-0.18039063085859547,-0.147713576710107,0.030404879278093367
51,cido,1.0,0.009,0.991,0.0,0.0,0.0,do,1.0,-0.7901972490000001,-0.889205412,-0.624011663,0.98274,-0.13372675729684205,-0.02864458436301587,-0.19086377840593846,0.0466898407576886
52,cido,1.0,0.011,0.98,0.0,0.004,0.005,do,0.996,-0.8353424859999999,-0.920274347,-0.655788698,0.965518988,-0.08119462032952383,-0.03876513535125589,-0.15448723847403903,0.0013026686892596902
53,cido,1.0,0.013,0.928,0.005,0.042,0.012,do,1.0,-0.81461038,-0.839745738,-0.7071683959999999,0.86176765,0.02722951229652794,-0.19034788850344792,-0.13430606624419672,0.09059640172309966
54,cido,1.0,0.001,0.999,0.0,0.0,0.0,do,1.0,-0.7898485009999999,-0.81467049,-0.70592474,0.979754065,-0.0671302219157212,-0.0737504204706091,-0.15964035263445342,0.12364958721646703
55,cido,1.0,0.001,0.82,0.019,0.149,0.011,do,0.998,-0.7412202040000001,-0.7123671970000001,-0.678998058,0.67269074,0.21227712805999824,0.11297935641095505,0.07856691008017373,0.1097178618063792
56,cido,1.0,0.003,0.996,0.0,0.0,0.001,do,1.0,-0.644047415,-0.780117695,-0.558296385,0.931345958,-0.03398701535075673,-0.09335345110026586,-0.1486544064587837,0.13481108411028656
57,cido,1.0,0.011,0.989,0.0,0.0,0.0,do,0.999,-0.7978701970000001,-0.881919195,-0.927088713,0.998627264,-0.13503154281494095,-0.08607206032105436,-0.08110605873654576,0.11894553702945461
58,cido,1.0,0.012,0.988,0.0,0.0,0.0,do,0.999,-0.884298853,-0.845941306,-0.8960288479999999,0.999974338,-0.14184099669602762,-0.047888891532680965,-0.13996025005702148,0.11685264590979386
59,cido,1.0,0.011,0.987,0.0,0.001,0.001,do,0.999,-0.896752076,-0.913604483,-0.8844434609999999,0.996052011,-0.1406283211061793,-0.06172543534421456,-0.08358806388154853,0.09912934552014355
60,cido,1.0,0.01,0.988,0.0,0.0,0.002,do,0.998,-0.7907356409999999,-0.775983669,-0.7596069329999999,0.998207966,-0.13875914508825127,-0.033006002169204685,-0.11527691989334617,0.0937267107386788
61,cido,1.0,0.002,0.819,0.011,0.158,0.01,do,0.995,-0.7624065309999999,-0.7362973979999999,-0.690179258,0.707867618,0.1967227977764361,0.11250752630489799,0.02101529113452253,0.009451864453164713
62,cido,1.0,0.014,0.973,0.0,0.002,0.011,do,0.999,-0.863428803,-0.921728411,-0.787167288,0.971491252,-0.21110275413015028,0.006847678723459459,-0.13958888542483366,0.02869364506191367
63,cido,1.0,0.002,0.81,0.023,0.14,0.025,do,0.828,-0.804776618,-0.110939343,-0.857338578,0.768384165,0.2243396228017908,0.03434763445345914,0.04738749494253044,0.3781500247459096
64,cido,1.0,0.002,0.998,0.0,0.0,0.0,do,1.0,-0.73286666,-0.8347970779999999,-0.637476834,0.982987867,-0.12346354294504508,-0.035592891070899656,-0.17233038700337092,0.0426163437315295
65,cido,1.0,0.009,0.987,0.0,0.001,0.003,do,0.999,-0.751097835,-0.826145206,-0.553838772,0.975433009,-0.09642025789514878,-0.019165140011810893,-0.15095154561202667,0.04482019769841248
66,cido,1.0,0.003,0.996,0.0,0.0,0.001,do,0.991,-0.6997967759999999,-0.6444874110000001,-0.6714753529999999,0.985687601,-0.105966433103387,-0.07533257404276415,-0.1506481944338504,0.060998819301794904
67,cido,1.0,0.002,0.998,0.0,0.0,0.0,do,0.999,-0.67728341,-0.7854225290000001,-0.538630133,0.979460557,-0.07021997619463656,-0.09951351311155668,-0.14618146742378346,0.09947467510589039
68,cido,1.0,0.006,0.993,0.0,0.0,0.001,do,1.0,-0.7116156290000001,-0.753198832,-0.628629211,0.971347994,-0.09382969227116676,-0.13132920819810096,-0.18716864645982575,0.09211741320639973
69,cido,1.0,0.009,0.92,0.011,0.028,0.032,do,0.91,-0.69436539,-0.624343744,-0.689157419,0.966000936,-0.08225897061178383,-0.03175069300182036,-0.028216731697086266,0.3550706540318522
70,cido,1.0,0.001,0.999,0.0,0.0,0.0,do,1.0,-0.739476768,-0.847622089,-0.584886366,0.970319134,-0.0613873349515245,-0.11020759220491326,-0.1490082987926283,0.1280500299868044
71,cido,1.0,0.001,0.911,0.006,0.076,0.006,do,0.999,-0.7919811179999999,-0.781070259,-0.724024456,0.719701549,0.19865760378214642,0.12967917441049465,0.02834261311332387,0.11994850011290017
72,cido,1.0,0.01,0.986,0.0,0.001,0.003,do,0.997,-0.810135785,-0.924323593,-0.593917052,0.978358895,-0.1021654720989541,-0.04899667672432956,-0.06264377227220308,0.062275337373745326
73,cido,1.0,0.038,0.928,0.0,0.01,0.024,do,0.988,-0.76573617,-0.833227455,-0.6977235190000001,0.984355874,-0.12336859927860842,-0.00914488477240896,-0.1428216439396388,-0.014995392708785147
74,cido,1.0,0.011,0.986,0.0,0.0,0.003,do,1.0,-0.8361054240000001,-0.8642181059999999,-0.7831637709999999,0.980500446,-0.2129286863728325,-0.009556917364961849,-0.1452638414356994,0.062463138270052156
75,cido,1.0,0.004,0.994,0.0,0.0,0.002,do,1.0,-0.664375689,-0.797021407,-0.574558499,0.931822127,-0.03803621071172043,-0.08984041846735277,-0.16225477220097811,0.13469549713775494
76,cido,1.0,0.013,0.987,0.0,0.0,0.0,do,0.999,-0.896552467,-0.9001942820000001,-0.8697903370000001,0.979441931,-0.14112433051883969,-0.06516606235411371,-0.12913006090999316,0.045193928140064746
77,cido,1.0,0.009,0.989,0.0,0.0,0.002,do,0.994,-0.8043909690000001,-0.920556857,-0.529023067,0.974142622,-0.06619236232570369,-0.010642502381554916,-0.1742145823074415,0.027629036016361082
78,codi,1.0,0.07,0.007,0.896,0.023,0.004,di,0.993,0.89226198,0.85629988,0.846612337,0.84507822,0.05685407349591635,0.032898475261629444,0.20853848868097308,0.2071859992437184
79,codi,1.0,0.0,0.001,0.965,0.021,0.013,di,0.996,0.914938613,0.8861548990000001,0.895001829,0.5022879960000001,0.2801092133499094,0.2927451526222029,0.36894182038813245,0.3947950659168061
80,codi,1.0,0.006,0.005,0.94,0.028,0.021,di,0.999,0.901533461,0.878098055,0.902203664,0.527244273,0.22808994243071348,0.1370695328186832,0.2742299086338705,0.3190845369527161
81,codi,1.0,0.0,0.0,0.997,0.001,0.002,di,0.998,0.824585737,0.800733824,0.791151574,0.08534606300000001,0.46099684317235406,0.4168632640179246,0.46265992974834486,0.42563790323674966
82,codi,1.0,0.0,0.0,0.97,0.025,0.005,di,1.0,0.839414668,0.817731455,0.861593486,0.214267146,0.3264411505660595,0.352645330650542,0.3940995078370547,0.44316602767731594
83,codi,1.0,0.0,0.001,0.973,0.013,0.013,di,0.798,0.028917403,0.663351627,0.651216124,0.471927596,0.29186951337047495,0.09624945313952434,0.32100476265689043,0.38480671977176834
84,codi,1.0,0.011,0.004,0.964,0.014,0.007,di,0.986,0.94708756,0.8981259779999999,0.947681903,0.644237657,0.20776370722686857,0.12969127278354614,0.2838833751404909,0.24090474469661327
85,codi,1.0,0.0,0.0,0.999,0.001,0.0,di,0.992,0.7276480670000001,0.796814593,0.838822548,-0.057754102,0.5243407343824421,0.4699030291521046,0.49232380473995896,0.4253756867050814
86,codi,1.0,0.0,0.0,0.964,0.026,0.01,di,0.992,0.910258859,0.889536385,0.903750867,-0.376041823,0.6772840257441392,0.5987774102424835,0.5633950970859009,0.5982523963386603
87,codi,1.0,0.012,0.001,0.969,0.016,0.002,di,0.962,0.8063051240000001,0.61068681,0.835384012,0.643549642,0.10998754646923045,0.08910147891905953,0.17828930855896016,0.38066387171639
88,codi,1.0,0.034,0.01,0.931,0.023,0.002,di,0.995,0.890353609,0.830338528,0.890634314,0.650519368,0.17189327171101054,0.12268440783878813,0.24796726289449764,0.24207404239240407
89,codi,1.0,0.0,0.0,0.905,0.079,0.016,di,0.774,0.327662088,0.8848184579999999,0.8912307770000001,0.523568082,0.27569956047852867,0.20422671638254572,0.3070834693397049,0.4620444255656642
90,codi,1.0,0.0,0.0,0.969,0.007,0.024,di,0.949,0.69198576,0.82963395,0.90830376,-0.188681201,0.5231408559649918,0.49205930450777235,0.54698238496031,0.5601083306444685
91,wcd,1.0,0.0,0.0,0.089,0.097,0.814,other,0.554,0.924303807,0.1741348,0.895332754,0.137527763,0.31939700896084744,0.48861422541950195,0.4155538313288825,0.4558017502026611
92,codi,1.0,0.032,0.013,0.894,0.038,0.023,di,0.973,0.7301711340000001,0.766432865,0.8348870190000001,0.718408033,0.16873281431223408,0.09530394231395826,0.3555501151152299,0.2840727620915632
93,codi,1.0,0.009,0.002,0.963,0.02,0.006,di,0.997,0.929735727,0.919310011,0.940514796,0.639632176,0.20478940884097754,0.21477922354683252,0.2639814119121986,0.3513081408603051
94,codo,1.0,0.019,0.076,0.021,0.852,0.032,do,0.945,-0.92242384,-0.989345681,-0.589774101,0.80645421,0.14473421583364038,-0.04838605523508816,0.19052937076425552,-0.05454411311115684
95,codo,1.0,0.005,0.184,0.053,0.691,0.067,do,0.931,-0.668578531,-0.7315311640000001,-0.569906256,0.716942209,0.1560879340520934,0.06474516564543524,0.2974432034517353,0.162406483412913
96,codo,1.0,0.0,0.003,0.029,0.942,0.026,do,0.982,-0.7572693659999999,-0.902002134,-0.23205492100000005,0.47688923,0.33864835575583674,0.3398260983937164,0.437205525231615,0.5662794521123662
97,codo,1.0,0.0,0.0,0.132,0.813,0.055,do,0.917,-0.8050117240000001,-0.937463586,-0.348877221,-0.414331389,0.6859741463834726,0.9020100524150879,0.7616573354052623,0.9999999999999998
98,codo,1.0,0.003,0.04,0.019,0.883,0.055,do,0.741,-0.373782373,-0.750594984,0.419209919,0.665297236,0.2570772295722479,0.040202066381100326,0.23496411664053105,0.0037528875338837192
99,wcd,1.0,0.0,0.004,0.007,0.03,0.959,other,0.721,-0.732559588,-0.852189541,-0.031089688,0.732909134,0.09657501600771051,0.08435069911331694,0.3128895546768241,-0.012819940059527569
100,wcd,1.0,0.001,0.099,0.008,0.001,0.891,other,0.624,-0.723531041,-0.480200718,-0.657058303,0.934977546,-0.05245683299313,-0.045030181596455825,-0.04094115483949995,0.368023745537012
101,wcd,1.0,0.035,0.03,0.001,0.002,0.932,other,0.912,0.925659985,-0.902475649,0.975766463,0.935688674,-0.009666156711354186,-0.11209877294734635,-0.02326411476262194,-0.0984597008170397
102,wcd,1.0,0.062,0.049,0.0,0.002,0.887,other,0.966,0.248481741,-0.985210565,-0.042857736,0.92972527,0.011556227408162967,-0.08655423119647473,-0.14601594946972812,-0.20351209045445692
